Year,Min Country,Min Value,Max Country,Max Value
2010 [YR2010],Kiribati,-3.89955040651658,"Venezuela, RB",28.1874647092039
2011 [YR2011],Bahrain,-0.40004069748808,Belarus,53.2286983118173
2012 [YR2012],Kiribati,-3.04586292775563,Belarus,59.2197360232517
2013 [YR2013],Comoros,-4.29487331536736,"Venezuela, RB",40.6394275161589
2014 [YR2014],Guinea-Bissau,-1.50924460570503,"Venezuela, RB",62.1686499794829
2015 [YR2015],Lebanon,-3.74914524799629,"Venezuela, RB",121.738085297503
2016 [YR2016],St. Lucia,-3.07821765676927,South Sudan,379.999585624026
2017 [YR2017],Chad,-1.53709962980849,South Sudan,187.851630279442
2018 [YR2018],Burundi,-2.81469807668465,South Sudan,83.5015294921999
2019 [YR2019],Burkina Faso,-3.2333893398333,Zimbabwe,255.304990757856
